list_name,name,label,crop
variety,BR2,BR2,Rice
variety,BR20,BR20,Rice
variety,BR21,BR21,Rice
variety,BR22,BR22,Rice
variety,BR23,BR23,Rice
variety,BR24,BR24,Rice
variety,BR25,BR25,Rice
variety,BR26,BR26,Rice
variety,BR3,BR3,Rice
variety,BR4,BR4,Rice
variety,BR5,BR5,Rice
variety,BR7,BR7,Rice
variety,BR8,BR8,Rice
variety,BR9,BR9,Rice
variety,BRRIDhan27,BRRIDhan27,Rice
variety,BRRIDhan28,BRRIDhan28,Rice
variety,BRRIDhan29,BRRIDhan29,Rice
variety,BRRIDhan30,BRRIDhan30,Rice
variety,BRRIDhan31,BRRIDhan31,Rice
variety,BRRIDhan32,BRRIDhan32,Rice
variety,BRRIDhan33,BRRIDhan33,Rice
variety,BRRIDhan34,BRRIDhan34,Rice
variety,BRRIDhan39,BRRIDhan39,Rice
variety,BRRIDhan40,BRRIDhan40,Rice
variety,BRRIDhan41,BRRIDhan41,Rice
variety,BRRIDhan42,BRRIDhan42,Rice
variety,BRRIDhan43,BRRIDhan43,Rice
variety,BRRIDhan44,BRRIDhan44,Rice
variety,BRRIDhan45,BRRIDhan45,Rice
variety,BRRIDhan46,BRRIDhan46,Rice
variety,BRRIDhan47,BRRIDhan47,Rice
variety,BRRIDhan48,BRRIDhan48,Rice
variety,BRRIDhan49,BRRIDhan49,Rice
variety,BRRIDhan50,BRRIDhan50,Rice
variety,BRRIDhan51,BRRIDhan51,Rice
variety,BRRIDhan52,BRRIDhan52,Rice
variety,BRRIDhan56,BRRIDhan56,Rice
variety,BRRIDhan58,BRRIDhan58,Rice
variety,BRRIDhan62,BRRIDhan62,Rice
variety,Damini,Damini,Rice
variety,Iratom24,Iratom24,Rice
variety,Minikit,Minikit,Rice
variety,SL8,SL8,Rice
variety,Subolata,Subolata,Rice
variety,Other,Other,Rice
variety,Dekalb3522,Dekalb3522,Maize
variety,Dekalb6607,Dekalb6607,Maize
variety,Dekalb9081,Dekalb9081,Maize
variety,Dekalb9103,Dekalb9103,Maize
variety,Dekalb9120,Dekalb9120,Maize
variety,Dekalb9135,Dekalb9135,Maize
variety,DKC835,DKC835,Maize
variety,DKC9081,DKC9081,Maize
variety,HaritaGold152,HaritaGold152,Maize
variety,Hero22,Hero22,Maize
variety,Janaki,Janaki,Maize
variety,K9107,K9107,Maize
variety,Kargil22,Kargil22,Maize
variety,Laxmi,Laxmi,Maize
variety,Local,Local,Maize
variety,Monsanto9146,Monsanto9146,Maize
variety,Moti,Moti,Maize
variety,Mungeriya,Mungeriya,Maize
variety,NK7720,NK7720,Maize
variety,Other,Other,Maize
variety,P2136,P2136,Maize
variety,P2277,P2277,Maize
variety,P3196,P3196,Maize
variety,P3322,P3322,Maize
variety,P3335,P3335,Maize
variety,P3355,P3355,Maize
variety,P3396,P3396,Maize
variety,P3501,P3501,Maize
variety,P3522,P3522,Maize
variety,P3533,P3533,Maize
variety,P6607,P6607,Maize
variety,P7720,P7720,Maize
variety,P9081,P9081,Maize
variety,PAC740,PAC740,Maize
variety,PAC751,PAC751,Maize
variety,PAC751ADVANTA,PAC751ADVANTA,Maize
variety,PAC835,PAC835,Maize
variety,Pioneer27P31,Pioneer27P31,Maize
variety,Pioneer27P63,Pioneer27P63,Maize
variety,Pioneer30V92,Pioneer30V92,Maize
variety,Pioneer3355,Pioneer3355,Maize
variety,Pioneer3396,Pioneer3396,Maize
variety,Pioneer3401,Pioneer3401,Maize
variety,Pioneer3501,Pioneer3501,Maize
variety,Pioneer3522,Pioneer3522,Maize
variety,Pioneer3523,Pioneer3523,Maize
variety,Pioneer3535,Pioneer3535,Maize
variety,Pioneer9081,Pioneer9081,Maize
variety,Pioneer9120,Pioneer9120,Maize
variety,Tubuliya,Tubuliya,Maize
variety,Unknown,Unknown,Maize
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
